证券代码,证券简称,行业中类,行业大类,行业门类,行业来源,更新截止
688385,复旦微电,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688387,信科移动,通信网络设备及器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688396,华润微,集成电路制造,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688425,铁建重工,工程机械整机,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
688469,芯联集成,集成电路制造,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688472,阿特斯,光伏电池组件,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
688475,萤石网络,安防设备,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688506,百利天恒,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
688520,神州细胞,其他生物制品,医药制造业,制造业,cninfo_stock_industry_change,20260423
688525,佰维存储,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688538,和辉光电,显示器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688561,奇安信,横向通用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688563,航材股份,航空装备Ⅲ,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
688568,中科星图,IT服务Ⅲ,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688578,艾力斯,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
688582,芯动联科,模拟芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688599,天合光能,光伏电池组件,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
688608,恒玄科技,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688615,合合信息,垂直应用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688617,惠泰医疗,医疗耗材,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
688629,华丰科技,军工电子Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688676,金盘科技,输变电设备,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
688692,达梦数据,垂直应用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688702,盛科通信,数字芯片设计,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688709,成都华微,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688728,格科微,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688772,珠海冠宇,锂电池,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
688777,中控技术,工控设备,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688778,厦钨新能,电池化学品,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688819,天能股份,蓄电池及其他电池,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
688981,中芯国际,集成电路制造,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
689009,九号公司,其他运输设备,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
